source_system,entity_name,procedure_number,lot_number,line_no,item_name,okpd_code,okpd_name,quantity,unit,price_rub,item_description,item_id_external,okei_code,unit_price_rub,line_total_rub,sberb2b_need_id,sberb2b_condition_id,unit_price_source,focus_category
sberbank_ast,ООО СберТех,83308764,1,9,Шкаф Avance 6Ш.013.1 для одежды,,,4.0,шт,0.0,В соответствии с техническим заданием,f9074f96-fe43-4172-8861-d79a63dc480b,796,0.0,0.0,dec44e09-5cde-4d17-8e35-7c29aac42f41,05da8d64-554a-43e4-b4cb-ea915c308e0b,sberb2b_goods_api,Office & Admin
sberbank_ast,ООО СберТех,83308764,1,10,Банкетка 7565 для прихожей Мягкая Ткань серо-розовая,,,1.0,шт,0.0,В соответствии с техническим заданием,c1bc95b3-ab4a-4919-b794-1d6ff3b5a935,796,0.0,0.0,dec44e09-5cde-4d17-8e35-7c29aac42f41,05da8d64-554a-43e4-b4cb-ea915c308e0b,sberb2b_goods_api,Office & Admin
sberbank_ast,ООО СберТех,83308764,1,11,Тумба Avance 6Т.005 под оргтехнику Белый,,,2.0,шт,0.0,В соответствии с техническим заданием,b98cc5e0-6ee9-4424-a150-4f0205a12418,796,0.0,0.0,dec44e09-5cde-4d17-8e35-7c29aac42f41,05da8d64-554a-43e4-b4cb-ea915c308e0b,sberb2b_goods_api,Office & Admin
sberbank_ast,ООО Домклик,83557526,1,1,Оказание услуг по анализу защищенности,,,1.0,усл. ед,0.0,Услуги по проведению комплексного внешнего тестирования на проникновение,5426f11b-df4f-4b2e-8258-4c22fb631a2c,876,0.0,0.0,336fd1e4-7284-46b0-8b4d-e384bb0feddc,2b4b993a-cdfd-4712-95bf-5e31afd92d04,sberb2b_goods_api,Other
sberbank_ast,АО Сбербанк Лизинг,83582195,1,1,Предоставление крытой ледовой площадки для тренировок по хоккею – 90 мин тренировка,93.11.10.000,Услуги спортивных объектов,50.0,усл. ед,0.0,,f89bb20f-dc02-4fbd-bb21-47f68cadad7a,876,0.0,0.0,cb2f5028-71ee-4b1d-8626-b25203e1b2a3,3032e4a5-8bf7-4b81-929a-0cd05d59e24f,sberb2b_goods_api,Logistics
sberbank_ast,АО Сбербанк Лизинг,83776691,1,1,1С:КП (Комплект поддержки) ПРОФ на 12 месяцев,,,1.0,шт,0.0,,d5ed204e-a3ca-45b8-b32e-a7d61436b655,796,0.0,0.0,366c7f95-92af-4295-8202-9935db7be1cd,7b029d62-b958-4c05-8144-0c4949519cea,sberb2b_goods_api,Software & Cloud
sberbank_ast,АО Сбербанк Лизинг,83803108,1,1,"Подлокотники к креслу «Aero LUX» с фурнитурой крепления ( по 2 штуки в комплекте). Материал: пластик Цвет: черный Размеры: ширина 75 мм, длина 24,5 мм, толщина 20 мм Регулировка по высоте.",22.29.26.110,"Фурнитура для мебели, транспортных средств и аналогичные изделия пластмассовые",10.0,компл,0.0,,780b7494-3044-4a6e-b8b7-8b4a5acabf8a,839,0.0,0.0,507f8221-4440-4f7c-8ff0-22e11caf7c93,0c09fc74-0df9-4247-b036-2eead6606f8e,sberb2b_goods_api,Other
sberbank_ast,АО Сбербанк Лизинг,84064561,1,1,"Оказание услуг по охране офисных помещений Байкальского регионального филиала АО ""Сбербанк Лизинг"" по адресу: г. Иркутск, ул. 5-армии 2/1 БЦ Троицкий (5 и 2 этажи).",,,9.0,мес,0.0,,dc3fd972-1161-459e-935e-3e8b31b8c5ce,362,0.0,0.0,028f9b2e-5565-458a-96f9-bb01a17400a5,9bd6edc3-870e-483b-bc92-b3467251710f,sberb2b_goods_api,Telecom & Devices
sberbank_ast,ООО СберАвто,84458942,1,1,"правая передняя дверь, окрас с ремонтом.",,,1.0,шт,30000.0,,0b931e91-0525-4247-ab50-778912f4bb14,796,30000.0,30000.0,e2c23552-36fd-4e07-b271-cffed102055b,c2d77359-8225-46b4-9956-cf8d2e228992,sberb2b_goods_api,Other
sberbank_ast,ООО СберАвто,84458942,1,2,"Крышка багажника, ремонт",,,1.0,шт,15100.0,,043de720-6064-4f3a-b064-137acbcab514,796,15100.0,15100.0,e2c23552-36fd-4e07-b271-cffed102055b,c2d77359-8225-46b4-9956-cf8d2e228992,sberb2b_goods_api,Other
