entity_name,procedure_number,lot_number,subject,focus_category,price_rub,category_median_price,value_ratio_to_category_median,anomaly_type,anomaly_reason,detail_url
ПАО Сбербанк России,SBR028-2501200045.1,1,г. Краснодар 1. Процедура продажи б.у. ИТ оборудования в количестве 12 штук.,Other,76800.0,,2.1333333333333333,repeated_subject_price_shift,same subject price spread 2.13x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2694679
ПАО Сбербанк России,SBR028-2502170035.1,1,г. Санкт-Петербург 4. Процедура продажи б.у. ИТ оборудования в количестве 38 штук.,Other,76000.0,,3.5,repeated_subject_price_shift,same subject price spread 3.50x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2774955
ПАО Сбербанк России,SBR028-2507140036.1,1,г. Сыктывкар 1. Процедура продажи б.у. ИТ оборудования в количестве 118 штук.,Other,75000.0,,2.7099867724867726,repeated_subject_price_shift,same subject price spread 2.71x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/3253568
ПАО Сбербанк России,SBR028-2506300042.1,1,г. Сыктывкар 1. Процедура продажи б.у. ИТ оборудования в количестве 118 штук.,Other,75000.0,,2.7099867724867726,repeated_subject_price_shift,same subject price spread 2.71x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/3210819
ПАО Сбербанк России,SBR028-2506160036.1,1,г. Сыктывкар 1. Процедура продажи б.у. ИТ оборудования в количестве 118 штук.,Other,75000.0,,2.7099867724867726,repeated_subject_price_shift,same subject price spread 2.71x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/3170329
ПАО Сбербанк России,SBR028-2412240043.1,1,г. Вологда. Процедура продажи б.у. ИТ оборудования в количестве 30 штук.,Other,75000.0,,3.125,repeated_subject_price_shift,same subject price spread 3.12x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2641698
ПАО Сбербанк России,SBR028-2409160035.1,1,г. Астрахань. Процедура продажи б.у. ИТ оборудования в количестве 50 штук.,Other,75000.0,,3.125,repeated_subject_price_shift,same subject price spread 3.12x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2305962
ПАО Сбербанк России,SBR028-2507290034.1,1,г. Санкт-Петербург 1. Процедура продажи б.у. ИТ оборудования в количестве 90 штук.,Other,72000.0,,2.338888888888889,repeated_subject_price_shift,same subject price spread 2.34x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/3291104
ПАО Сбербанк России,SBR028-2506160057.1,1,г. Ставрополь. Процедура продажи б.у. ИТ оборудования в количестве 100 штук.,Other,70000.0,,3.3333333333333335,repeated_subject_price_shift,same subject price spread 3.33x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/3170413
ПАО Сбербанк России,SBR028-2407220031.1,1,г. Москва-6. Процедура продажи б.у. ИТ оборудования в количестве 20 штук.,Other,70000.0,,2.857142857142857,repeated_subject_price_shift,same subject price spread 2.86x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2147844
